Topic,Count,Name,Representation,Representative_Docs
-1,59,-1_same_with_for_the,"['same', 'with', 'for', 'the', 'home', 'to', 'at', 'will', 'and', 'is']","['Energy-saving home appliances will be beneficial not only for your wallet but for the environment as well. This is a way to be able to save energy costs for your family and use the extra money for other needs.', 'Save money and help the environment with energy-saving home appliances!!', 'Save money for your family, and be good to the earth at the same time with energy-saving home appliances.']"
0,27,0_save_money_energy_planet,"['save', 'money', 'energy', 'planet', 'homes', 'single', 'personally', 'moneysmarter', 'globally', 'appliences']","['Save energy, Save money', 'save energy- save money', 'Save money, save energy!']"
1,19,1_helping_environment_while_miss,"['helping', 'environment', 'while', 'miss', 'selection', 'remarkable', 'unbeatable', 'eco', 'here', 'available']","['Save more by helping the environment.', 'Our new high efficiency dishwasher keeps your dishes clean while reducing energy consumption by 20% when paired with our eco-friendly detergent. Save the environment and your bills!', 'Get your very energy efficent applicances here, and at a great savings!Discover a remarkable selection of energy-efficient appliances, all available here at unbeatable savings! Don’t miss out on the chance to upgrade your home while saving money and helping the environment.Discover a remarkable selection of energy-efficient appliances, all available here at unbeatable savings! Don’t miss out on the chance to upgrade your home while saving money and helping the environment.Discover a remarkable selection of energy-efficient appliances, all available here at unbeatable savings! Don’t miss out on the chance to upgrade your home while saving money and helping the environment.']"
2,17,2_planet_save_conserve_the,"['planet', 'save', 'conserve', 'the', 'green', 'dollar', 'before', 'laws', 'force', 'thinking']","[""Don't save the planet, save your money"", ""Don't let the government tell you what to do.. conserve energy and save the planet before they make laws to force you!"", 'SAVE THE PLANET']"
3,14,3_made_american_usa_americanmade,"['made', 'american', 'usa', 'americanmade', 'freedom', 'costs', 'tax', 'control', 'designed', 'buy']","['Save money and excercise your freedom: buy American made energy-efficient appliances!', 'Take control of your energy costs. Buy american made durable appliances..', 'Saves time and money, American-made!']"
4,14,4_tomorrow_today_cleaner_waste,"['tomorrow', 'today', 'cleaner', 'waste', 'homes', 'dont', 'generate', 'follow', 'powering', 'rebates']","['Smart energy for our homes, lower bills today, a cleaner plaet tomorrow', 'Smart energy choices today for a cleaner tomorrow', '""Smart homes for a cleaner tomorrow""']"
5,14,5_make_saving_appliances_world,"['make', 'saving', 'appliances', 'world', 'use', 'family', 'coming', 'against', 'hundreds', 'place']","['use energy saving appliances, save the world!', 'energy saving appliances make the world a better placed', 'Save energy with energy saving appliances. Make the world a better place and fight against climate change.']"
6,14,6_we_all_need_should,"['we', 'all', 'need', 'should', 'work', 'together', 'do', 'in', 'to', 'so']","['Lets all work together and conserve our planets resources.  We all need to do our part in energy savings, more green options, and reduce/reuse/recycle!', ""We should all do what we can for the environment. It's important to use energy saving home appliances so we won't use so many of our planets resources."", ""All should be concerned with the resources of our planet diminishing. It's in everyone's best interest to work together to preserve the planet for future generations. We need to put aside our differences and work together for the people we represent, whether they understand it or need to look into it further.""]"
7,14,7_on_bills_line_electric,"['on', 'bills', 'line', 'electric', 'built', 'gas', 'foreign', 'dependence', 'plant', 'oil']","[""Think American with appliances! Our energy-saving appliances lower your utility bills and reduce dependence on foreign energy sources. It's a win for everyone."", ""Our new line of top-tier appliances will improve your home's value, while reducing dependence on foreign oil, support American ingenuity, and reduce carbon footprint. Come check out our new line today!"", 'Support our Plant and OUR American workers with this new line of energy efficient Appliances, built and assembled in the USA,  that will save you money each month on your electric and gas bill , save resources like oil , gas and coal which is great for the Plant .. its a WIN / WIN for everyone.']"
8,13,8_less_more_spend_use,"['less', 'more', 'spend', 'use', 'earn', 'electricity', 'back', 'you', 'giving', 'moneyuse']","['Use less energy. Keep  more of what you earn.', 'You care more and spend less!', ""Come spend 50% more on less practical appliances since that's what you claim to do and support the business. But I know you won't because just like every Republican said its not financially plausible and your actions only prove the Republicans point.""]"
9,12,9_better_for_large_modern,"['better', 'for', 'large', 'modern', 'problem', 'is', 'are', 'environment', 'your', 'decisions']","[""Energy saving appliances are one of the few decisions you can make that are both better for the planet and better for your pocketbook. Do your part for your family, the planet, and you're checking account by using one today."", 'Smart savings for your home better for the planet, better for your bills.', 'Better for you, better for your wallet, better for the environment.']"
10,11,10_run_long_in_will,"['run', 'long', 'in', 'will', 'taking', 'help', 'now', 'it', 'if', 'the']","['Using energy saving home appliances will save money for consumers and businesses in the long run. It will help with infrastructure as there is less of a load on the electrical grid. It will create more jobs in more sectors thus improving the economy.', 'An energy-saving appliance can save you money in the long run.', 'Energy saving appliances save you money in the long run!']"
11,11,11_power_saved_smarter_us,"['power', 'saved', 'smarter', 'us', 'energylive', 'within', 'energize', 'lower', 'wasting', 'most']","['Lower bills. Smarter power. Your control.', 'Energy is power', 'Save Energy. Save Money. Power Your Home Smarter.']"
12,11,12_protect_planet_at_build,"['protect', 'planet', 'at', 'build', 'benefitswhich', 'highlights', 'energyprotect', 'easier', 'showing', 'homethis']","['save energy, protect the planet', 'Save Energy, Protect the Planet!', 'Protect the planet save energy.']"
13,11,13_savings_smart_than_leading,"['savings', 'smart', 'than', 'leading', 'durability', 'who', 'shared', 'stronger', 'those', 'for']","['Smart energy for home, savings for every family.', 'Quality energy savings leading to money savings for you from us.', 'Energy savings on appliances take into account more than just savings.  The units offer much more than savings like features and benefits.']"
